Código,Nome,Município,Área,Total de Famílias,Total Famílias 2,Fase,Tipo,Número,Data da Criação,Obtenção,Data da Obtenção,Município IBGE
MT0168000,PA SANTA HELENA II,MIRASSOL D'OESTE,"1.215,68",53,54,6,1,112,30/12/1996,Compra e Venda,18/10/1996,Mirassol D'oeste
MT0169000,PA CANCELA,RIBEIRAO CASCALHEIRA,"14.616,62",173,186,3,1,95,02/12/1996,Desapropriação,09/05/1996,Ribeirão Cascalheira
MT0170000,PA NOIDORINHO/VITÓRIA,CAMPINAPOLIS,"17.443,00",165,200,3,1,98,02/12/1996,Desapropriação,02/12/1995,Campinápolis
MT0171000,PA XAVANTINHO,SAO FELIX DO ARAGUAIA,"1.200,00",11,20,4,1,99,02/12/1996,Arrecadação,02/08/1984,São Félix Do Araguaia
MT0172000,PA MARGARIDA UNIÃO,CONFRESA,"20.591,98",205,244,6,1,64,14/10/1997,Desapropriação,14/10/1997,Confresa
MT0173000,PA BOCAINA,VILA BELA DA SANTISSIMA TRINDADE,300,18,18,6,1,1,08/01/1997,Arrecadação,13/02/1979,Vila Bela Da Santíssima Trindade
MT0174000,PA SÃO JOSÉ UNIÃO,PEIXOTO DE AZEVEDO,"60.505,86",1006,1231,3,1,101,05/12/1996,Desapropriação,05/12/1996,Peixoto De Azevedo
MT0175000,PE JACAMINHO,ALTA FLORESTA,"2.480,00",93,93,4,3,99,19/11/1997,Reconhecimento,19/11/1997,Alta Floresta
MT0176000,PA SÃO SEBASTIÃO,VILA BELA DA SANTISSIMA TRINDADE,500,14,14,4,1,50,17/06/1997,Arrecadação,13/02/1979,Vila Bela Da Santíssima Trindade
MT0179000,PA SANTA MARIA,AGUA BOA,"13.597,89",212,213,3,1,46,30/05/1997,Desapropriação,02/07/1996,Água Boa
MT0180000,PA TATUIBY,CANABRAVA DO NORTE,"12.642,44",151,152,6,1,67,24/10/1997,Desapropriação,10/06/1996,Canabrava Do Norte
MT0181000,PA ANTONIO CONSELHEIRO,TANGARA DA SERRA,"38.337,83",877,999,3,1,109,12/12/1997,Desapropriação,05/05/1997,Tangará Da Serra
MT0183000,PA NOVA ESPERANÇA,CACERES,"1.695,29",50,51,3,1,110,15/12/1997,Desapropriação,09/07/1997,Cáceres
MT0184000,PA LAGO DE PEDRA,SAO FELIX DO ARAGUAIA,"6.218,90",44,50,3,1,108,04/12/1997,Desapropriação,06/09/1996,São Félix Do Araguaia
MT0185000,PA MÁRCIO PEREIRA,SAO JOSE DO POVO,"2.288,60",95,95,3,1,47,30/05/1997,Desapropriação,05/11/1996,São José Do Povo
MT0186000,PA FURNAS DO BURITI,POCONE,"1.061,60",28,28,3,1,48,30/05/1997,Desapropriação,25/11/1996,Poconé
MT0187000,PA SERINGAL,VILA BELA DA SANTISSIMA TRINDADE,"6.422,86",233,240,3,1,68,24/10/1997,Desapropriação,18/07/1996,Vila Bela Da Santíssima Trindade
MT0188000,PA RIO BORGES,TAPURAH,"7.459,59",102,106,6,1,69,24/10/1997,Desapropriação,24/11/1996,Tapurah
MT0189000,PA BONANZA,TAPURAH,"7.459,59",51,101,3,1,95,13/11/1997,Desapropriação,25/11/1996,Tapurah
MT0190000,PA SANTA IRENE,IPIRANGA DO NORTE,"2.846,00",47,50,3,1,97,13/11/1997,Desapropriação,03/12/1996,Ipiranga Do Norte
MT0191000,PA CAMPINAS,SAO JOSE DO RIO CLARO,"15.430,28",288,300,3,1,91,06/11/1997,Desapropriação,16/01/1997,São José Do Rio Claro
MT0192000,PA PADOVANI,MATUPA,"31.278,61",421,458,6,1,94,13/11/1997,Desapropriação,23/10/1996,Matupá
MT0193000,PA SANTA ROSA,NOVA BRASILANDIA,"6.087,00",135,145,3,1,89,06/11/1997,Desapropriação,26/09/1996,Nova Brasilândia
MT0194000,PA BOA VISTA,PARANATINGA,"14.907,80",247,260,3,1,90,06/11/1997,Desapropriação,07/02/1997,Paranatinga
MT0195000,PA SÃO BENEDITO,ARAPUTANGA,"1.233,51",50,58,6,1,31,05/05/1998,Desapropriação,29/04/1997,Araputanga
MT0196000,PA SANTA ROSA I,SAO JOSE DOS QUATRO MARCOS,"1.887,03",73,73,6,1,117,31/12/1997,Desapropriação,25/04/1997,São José Dos Quatro Marcos
MT0197000,PA JATOBÁ,CACERES,"911,6195",29,29,3,1,71,24/10/1997,Desapropriação,05/11/1996,Cáceres
MT0198000,PA RANCHO DA SAUDADE,CACERES,"8.206,71",45,46,3,1,114,27/12/1997,Desapropriação,05/12/1996,Cáceres
MT0199000,PA JURUENA,COTRIGUACU,"30.072,00",477,524,4,1,102,26/11/1997,Desapropriação,19/08/2002,Cotriguaçu
MT0200000,PA ENA,FELIZ NATAL,"30.000,00",379,388,3,1,104,26/11/1997,Desapropriação,25/11/1996,Feliz Natal
MT0201000,PA CALIFORNIA,VERA,"7.472,15",231,232,6,1,41,04/06/1998,Desapropriação,19/08/2002,Vera
MT0202000,PA VERANEIO,COLIDER,"14.147,57",523,523,6,1,112,15/12/1997,Desapropriação,01/09/1997,Colíder
MT0203000,PA SÃO PEDRO,PARANAITA,"35.020,03",776,776,6,1,116,29/12/1997,Desapropriação,16/01/1997,Paranaíta
MT0204000,PE NOVA FLORESTA,PORTO ALEGRE DO NORTE,"10.326,00",124,140,3,3,66,15/10/1997,Reconhecimento,10/10/1990,Porto Alegre Do Norte
MT0205000,PE VALE DA SERRA,ACORIZAL,"2.870,00",79,87,4,3,62,14/10/1997,Reconhecimento,14/10/1997,Acorizal
MT0206000,PE TARUMÃ,GUIRATINGA,"505,69",0,20,4,3,63,14/10/1997,Reconhecimento,14/10/1997,Guiratinga
MT0207000,PA RITINHA,VILA BELA DA SANTISSIMA TRINDADE,"6.910,86",132,132,6,1,100,20/11/1997,Desapropriação,23/10/1996,Vila Bela Da Santíssima Trindade
MT0209000,PA MOGIANA I,IPIRANGA DO NORTE,"2.646,96",38,38,6,1,118,31/12/1997,Desapropriação,24/07/1997,Ipiranga Do Norte
MT0210000,PA FURNAS III,IPIRANGA DO NORTE,"3.180,31",46,45,3,1,5,23/01/1998,Desapropriação,23/01/1998,Ipiranga Do Norte
MT0212000,PA JARAGUÁ,AGUA BOA,"20.097,32",422,423,6,1,32,11/05/1998,Desapropriação,17/11/1997,Água Boa
MT0213000,PA BRASIL NOVO,QUERENCIA,"28.577,69",317,317,3,1,7,30/01/1998,Desapropriação,07/11/1997,Querência
MT0214000,PCA JÁCOMO,POXOREO,129,22,48,4,7,87,04/11/1997,Reconhecimento,30/10/1992,Poxoréu
MT0215000,PCA SANTA MARIA,POXOREO,50,30,35,4,7,88,04/11/1997,Reconhecimento,04/11/1997,Poxoréu
MT0217000,PA IRIRIZINHO,GUARANTA DO NORTE,"7.250,57",71,102,3,1,115,19/12/1997,Arrecadação,19/08/2002,Guarantã Do Norte
MT0218000,PA WESLEY MANOEL DOS SANTOS,SINOP,"38.274,63",513,547,5,1,103,26/11/1997,Desapropriação,18/10/1996,Sinop
MT0219000,PA CAMPO LIMPO,POCONE,"979,8124",46,49,3,1,8,12/02/1998,Desapropriação,01/10/1997,Poconé
MT0221000,PA SADIA III,VARZEA GRANDE,"5.003,58",150,151,3,1,9,12/02/1998,Desapropriação,09/06/1997,Várzea Grande
MT0222000,PE RESISTÊNCIA,SANTO ANTONIO DO LEVERGER,"2.840,55",117,120,4,3,15,02/03/1998,Reconhecimento,02/03/1998,Santo Antônio Do Leverger
MT0223000,PA RIOZINHO,NOVA OLIMPIA,"2.541,00",71,71,3,1,29,29/04/1998,Desapropriação,10/12/1997,Nova Olímpia
MT0224000,PA COQUEIRO,RONDONOPOLIS,"1.231,86",41,41,6,1,30,05/05/1998,Desapropriação,15/01/1998,Rondonópolis
MT0225000,PA DOIS IRMÃOS,GUIRATINGA,"1.495,05",59,60,5,1,43,18/06/1998,Desapropriação,15/01/1998,Guiratinga
MT0227000,PA VALE DO SOL,NOVA OLIMPIA,"2.300,00",57,52,3,1,40,27/05/1998,Desapropriação,19/12/1997,Nova Olímpia
MT0228000,PA PADRE JOSIMO TAVARES,SAO JOSE DO POVO,"3.152,43",115,120,4,1,52,06/07/1998,Desapropriação,04/12/1997,São José Do Povo
MT0230000,PA ESTRELA DO ORIENTE,NOSSA SENHORA DO LIVRAMENTO,"2.272,49",82,88,3,1,67,31/07/1998,Desapropriação,03/03/1998,Nossa Senhora Do Livramento
MT0231000,PA SANTO ANTONIO,GUIRATINGA,"5.187,37",63,63,3,1,119,28/12/1998,Desapropriação,28/12/1998,Guiratinga
MT0232000,PA SANTA TEREZINHA II,NOVA UBIRATA,"9.826,61",150,1410,3,1,60,13/07/1998,Desapropriação,03/02/1998,Nova Ubiratã
MT0233000,"PA BOA ESPERANÇA I, II E III",NOVA UBIRATA,"32.040,93",366,409,6,1,59,13/07/1998,Desapropriação,13/07/1998,Nova Ubiratã
MT0234000,PA PINGOS DÁGUA,QUERENCIA,"38.811,68",556,551,3,1,56,09/07/1998,Desapropriação,09/01/1998,Querência
MT0235000,PA NOSSA SENHORA DO CARMO,ITIQUIRA,"5.341,88",80,80,6,1,66,31/07/1998,Desapropriação,03/03/1998,Itiquira
MT0236000,PA SÃO JOSÉ DA VILA RICA,VILA RICA,"14.076,21",157,256,4,1,112,28/12/1998,Desapropriação,28/12/1998,Vila Rica
MT0237000,PA IPE,VILA RICA,"12.043,99",215,211,3,1,115,28/12/1998,Desapropriação,28/12/1998,Vila Rica
MT0239000,PA SANTO ANTONIO DO FONTOURA I,CONFRESA,"40.287,31",521,526,5,1,9,28/01/1999,Desapropriação,24/08/1998,Confresa
MT0240000,PA SANTA CLARA,SANTA CRUZ DO XINGU,"19.680,34",261,390,3,1,21,10/02/2000,Desapropriação,10/12/1998,Santa Cruz Do Xingu
MT0241000,PA BRASIPAIVA,SAO JOSE DO XINGU,"9.011,60",151,151,6,1,96,28/07/1999,Desapropriação,10/12/1998,São José Do Xingu
MT0242000,PA MÃE MARIA,ALTO BOA VISTA,"24.762,79",479,479,3,1,23,16/03/1999,Desapropriação,17/08/1998,Alto Boa Vista
MT0243000,PA VALE DO SERINGAL,CASTANHEIRA,"35.986,88",577,583,3,1,114,28/12/1998,Desapropriação,22/07/1998,Castanheira
MT0244000,PA VALE DO AMANHECER,JURUENA,"14.751,08",223,250,6,1,120,28/12/1998,Desapropriação,14/11/1998,Juruena
MT0247000,PA SANTA LUZIA I,TAPURAH,"3.107,80",73,71,6,1,15,24/02/1999,Desapropriação,30/04/1998,Tapurah
MT0248000,PA CRISTALMEL,IPIRANGA DO NORTE,"3.493,00",51,51,3,1,111,28/12/1998,Desapropriação,13/04/1998,Ipiranga Do Norte
MT0249000,PA GUAPIRAMA,CAMPO NOVO DO PARECIS,"3.293,76",54,55,3,1,107,14/12/1998,Desapropriação,28/05/1998,Campo Novo Do Parecis
MT0250000,PA BOGORNI,IPIRANGA DO NORTE,"3.780,18",54,57,3,1,109,28/12/1998,Desapropriação,16/06/1998,Ipiranga Do Norte
MT0251000,PA SAO FRANCISCO I,NORTELANDIA,"2.092,05",68,71,6,1,102,20/11/1998,Desapropriação,19/12/1997,Nortelândia
MT0252000,PA MOGIANA II,IPIRANGA DO NORTE,"1.633,00",20,22,5,1,110,28/12/1998,Desapropriação,29/03/1976,Ipiranga Do Norte
MT0253000,PA ESCONDIDO,JUARA,"4.976,00",59,145,3,1,22,10/02/2000,Desapropriação,10/02/2000,Juara
MT0256000,PA BOSMAGI,NOVO HORIZONTE DO NORTE,"1.222,59",37,37,3,1,124,13/10/1999,Desapropriação,16/06/1999,Novo Horizonte Do Norte
MT0257000,PA CARACOL,NOVO HORIZONTE DO NORTE,"1.980,67",65,66,5,1,122,13/10/1999,Desapropriação,02/06/1998,Novo Horizonte Do Norte
MT0258000,PA JULIETA II,NOVO HORIZONTE DO NORTE,"3.078,15",106,107,3,1,121,13/10/1999,Desapropriação,13/08/1998,Novo Horizonte Do Norte
MT0259000,PA SANTANA DÁGUA LIMPA,SAO JOSE DO RIO CLARO,"18.904,39",397,471,3,1,97,29/07/1999,Desapropriação,19/11/1998,São José Do Rio Claro
MT0261000,PA SANDRINI,SAO JOSE DO POVO,"1.649,22",71,72,6,1,106,14/12/1998,Compra e Venda,04/12/1998,São José Do Povo
MT0262000,PA RIO BRANCO,NOVA OLIMPIA,"6.300,00",90,90,4,1,142,10/12/1999,Desapropriação,22/12/1997,Nova Olímpia
MT0263000,PA SANTO ANTONIO DA ALDEIA,POXOREO,"1.706,09",62,63,3,1,117,28/12/1998,Desapropriação,07/10/1998,Poxoréu
MT0264000,PA SÃO MANOEL,QUERENCIA,"13.566,15",178,183,3,1,8,28/01/1999,Desapropriação,28/01/1999,Querência
MT0265000,PA PONTAL DO MARAPE,NOVA MUTUM,"27.638,13",361,360,3,1,121,31/12/1998,Desapropriação,12/08/1998,Nova Mutum
MT0268000,PA SANTA HELENA III,ROSARIO OESTE,"1.660,06",37,40,3,1,103,27/11/1998,Desapropriação,06/11/1997,Rosário Oeste
MT0269000,PA SANTANA DO TAQUARAL,SANTO ANTONIO DO LEVERGER,"4.595,36",98,97,3,1,6,25/01/1999,Desapropriação,25/01/1999,Santo Antônio Do Leverger
MT0274000,PA BARRANQUEIRA,CACERES,"2.326,05",90,90,3,1,5,20/01/1999,Desapropriação,08/10/1997,Cáceres
MT0275000,PA SÃO SATURNINO,MIRASSOL D'OESTE,"2.927,00",113,114,3,1,114,04/08/2000,Desapropriação,19/08/2002,Mirassol D'oeste
MT0278000,PA ROSELI NUNES,MIRASSOL D'OESTE,"10.611,40",331,331,3,1,3,02/04/2001,Desapropriação,25/09/1998,Mirassol D'oeste
MT0282000,PA IPÊ ROXO,CACERES,"1.247,00",27,30,3,1,122,31/12/1998,Desapropriação,03/07/1998,Cáceres
MT0291000,PCA SANTA CARMEM (CASULO),SANTA CARMEM,121,35,40,3,7,94,30/09/1998,Reconhecimento,05/06/1998,Santa Carmem
MT0292000,PA RIBEIRÃO DA GLÓRIA,SANTO ANTONIO DO LEVERGER,"964,4472",38,38,3,1,7,25/01/1999,Desapropriação,01/10/1997,Santo Antônio Do Leverger
MT0293000,PA ALMINHAS,POXOREO,"1.810,00",68,70,3,1,133,17/11/1999,Desapropriação,17/11/1999,Poxoréu
MT0294000,PA TAMBORIL,NOVO SAO JOAQUIM,"1.343,11",57,60,3,1,113,28/12/1998,Desapropriação,16/07/1998,Novo São Joaquim
MT0295000,PA UNIÃO FLOR DA SERRA,NOVA CANAA DO NORTE,"844,5937",32,32,5,1,82,23/08/2000,Arrecadação,02/01/1985,Nova Canaã Do Norte
MT0296000,PCA NOVO HORIZONTE DO NORTE,NOVO HORIZONTE DO NORTE,"106,68",26,26,3,7,96,19/10/1998,Reconhecimento,19/10/1998,Novo Horizonte Do Norte
MT0297000,PA JAPURANÃ,NOVA BANDEIRANTES,"66.891,29",933,950,4,1,86,02/07/1999,Desapropriação,25/09/1998,Nova Bandeirantes
MT0298000,PCA  AGUAÇÚ,CUIABA,"221,4741",35,35,4,7,24,17/03/1999,Reconhecimento,18/01/1999,Cuiabá
MT0299000,PA TRIUNFO,PONTES E LACERDA,"11.500,00",326,326,3,1,23,10/02/2000,Desapropriação,10/11/1999,Pontes E Lacerda
MT0300000,PA COLORADO,PARANATINGA,"7.896,00",172,181,3,1,95,26/07/1999,Desapropriação,26/07/1999,Paranatinga
MT0301000,PA ÁGUAS DA SERRA,RONDONOPOLIS,440,18,18,3,1,105,17/12/1998,Desapropriação,07/07/1998,Rondonópolis
MT0302000,PA PAULO FREIRE,CAMPO VERDE,"902,7416",30,29,3,1,139,10/12/1999,Desapropriação,30/06/1999,Campo Verde
MT0303000,PA 17 DE MARÇO,RONDONOPOLIS,"3.144,41",99,99,6,1,16,24/02/1999,Desapropriação,06/10/1998,Rondonópolis
MT0304000,PA COLNIZA - II,COLNIZA,"3.400,64",3,120,3,1,1,20/01/1999,Desapropriação,20/08/1998,Colniza
MT0305000,PA COLNIZA-I,COLNIZA,"44.023,70",969,1016,3,1,118,28/12/1998,Desapropriação,17/08/1998,Colniza
MT0306000,PA ESCOL SUL,COLNIZA,"26.439,11",457,500,3,1,2,20/01/1999,Desapropriação,20/01/1999,Colniza
MT0307000,PA NATAL,COLNIZA,"12.421,07",218,249,3,1,10,28/01/1999,Desapropriação,10/02/1998,Colniza
MT0308000,PA SÃO GABRIEL,VILA RICA,"2.014,12",37,40,3,1,116,28/12/1998,Desapropriação,17/08/1998,Vila Rica
MT0309000,PA RAIZAMA,ROSARIO OESTE,"2.439,50",85,85,3,1,3,20/01/1999,Desapropriação,08/10/1997,Rosário Oeste
MT0311000,PA CÓRREGO RICO,ALTO ARAGUAIA,"1.532,81",48,48,3,1,56,14/04/1999,Desapropriação,12/11/1998,Alto Araguaia
MT0312000,PA PALOMA,BRASNORTE,"8.541,22",86,85,6,1,57,20/04/1999,Desapropriação,17/04/1998,Brasnorte
MT0313000,PA CORIXO,CACERES,"3.413,18",73,73,3,1,6,05/04/2001,Desapropriação,17/09/1998,Cáceres
MT0314000,PA SAPICUÁ,CACERES,"1.249,77",38,40,6,1,114,30/08/1999,Desapropriação,17/11/1998,Cáceres
MT0315000,PA LIMOEIRO,CACERES,"8.649,39",162,172,3,1,6,02/02/2000,Desapropriação,12/05/1999,Cáceres
MT0316000,PA SANTO ANTONIO DO FONTOURA III,CONFRESA,"12.375,05",123,127,6,1,84,23/06/1999,Desapropriação,23/06/1999,Confresa
MT0317000,PCA CHÃO DO AMANHÃ,SORRISO,80,25,25,4,7,126,22/10/1999,Reconhecimento,10/09/1999,Sorriso
MT0318000,PCA CASULO II,NOVO HORIZONTE DO NORTE,121,33,33,4,7,19,27/04/2001,Reconhecimento,01/11/1999,Novo Horizonte Do Norte
MT0319000,PCA NOVA MARINGÁ,NOVA MARINGA,290,30,32,3,7,113,26/08/1999,Reconhecimento,19/08/2002,Nova Maringá
MT0320000,PCA SÃO PEDRO I,ALTO PARAGUAI,200,42,50,3,7,129,12/11/1999,Reconhecimento,12/11/1999,Alto Paraguai
MT0321000,PA JOÃO DE BARRO,POXOREO,982,34,38,3,1,14,10/02/2000,Desapropriação,19/08/2002,Poxoréu
MT0322000,PA JOÃO PESSOA,SAO JOSE DO POVO,"2.757,39",111,112,3,1,140,10/12/1999,Desapropriação,14/07/1999,São José Do Povo
MT0323000,PA SANTO ANTONIO DO FONTOURA II,CONFRESA,"6.269,79",93,160,6,1,123,15/10/1999,Desapropriação,01/11/1999,Confresa
MT0324000,PA TIETÊ,POXOREO,726,27,37,6,1,131,16/11/1999,Desapropriação,18/09/1998,Poxoréu
MT0325000,PA CARLOS MARIGHELA-PONTAL DA AREIA,POXOREO,"5.317,84",166,166,3,1,138,10/12/1999,Desapropriação,16/06/1999,Poxoréu
MT0326000,PA SANTO ANTONIO DO NORTE,PEDRA PRETA,"994,4946",47,48,3,1,16,10/02/2000,Desapropriação,10/02/2000,Pedra Preta
MT0329000,PA LAGOA RICA,PONTES E LACERDA,"2.099,93",36,37,3,1,15,10/02/2000,Desapropriação,25/05/1998,Pontes E Lacerda
MT0330000,PA CEDRO ROSA,NOVA UBIRATA,"3.749,59",93,101,3,1,144,10/12/1999,Desapropriação,05/08/1999,Nova Ubiratã
MT0331000,PA SANTO ANTONIO DO BELEZA,VILA RICA,"11.573,39",167,217,3,1,16,10/04/2001,Desapropriação,10/04/2001,Vila Rica
MT0332000,PA REUNIDAS,SANTA TEREZINHA,"18.096,64",238,300,4,1,127,09/10/1999,Desapropriação,14/12/1998,Santa Terezinha
MT0333000,PCA ARINOS,JUARA,84,35,32,4,7,136,19/11/1999,Reconhecimento,31/08/1999,Juara
MT0339000,PA BELEZA,JUSCIMEIRA,"6.857,38",149,153,6,1,12,04/02/2000,Desapropriação,22/10/1999,Juscimeira
MT0340000,PCA MATEIRINHA,GUIRATINGA,"75,841",27,27,3,7,137,10/11/1999,Reconhecimento,20/09/2001,Guiratinga
MT0344000,PA SANTO ANTONIO DA FARTURA,CAMPO VERDE,"7.579,97",245,266,3,1,26,04/06/2001,Desapropriação,19/08/2002,Campo Verde
MT0346000,PA MONTE VERDE,NOVA MONTE VERDE,"8.098,65",118,450,3,1,44,17/03/2000,Desapropriação,18/10/1999,Nova Monte Verde
MT0347000,PA PONTAL DO GLÓRIA,SANTO ANTONIO DO LEVERGER,"3.306,65",119,110,3,1,24,14/02/2000,Desapropriação,12/05/1999,Santo Antônio Do Leverger
MT0349000,PA SÃO VICENTE,CONFRESA,"31.273,34",350,630,4,1,34,28/02/2000,Desapropriação,23/11/1999,Confresa
MT0350000,PA SANTA ROSA II,SORRISO,"16.883,41",183,177,3,1,141,10/12/1999,Desapropriação,27/01/1999,Sorriso
MT0352000,PA NOVA ESPERANÇA I,ALTO PARAGUAI,"3.631,00",79,82,3,1,45,17/05/2000,Desapropriação,23/08/2000,Alto Paraguai
MT0356000,PA CACHIMBO II,PEIXOTO DE AZEVEDO,"48.453,79",793,923,3,1,20,10/02/2000,Desapropriação,28/07/1999,Peixoto De Azevedo
MT0357000,PA TRIUNFO,PONTES E LACERDA,"11.026,98",1,329,3,1,23,10/02/2000,Desapropriação,10/11/1999,Pontes E Lacerda
MT0360000,PA JURUENA I,BRASNORTE,"14.417,17",268,359,4,1,36,29/02/2000,Desapropriação,19/08/2002,Brasnorte
MT0361000,PA AGROANA/GIRAU,POCONE,"5.758,38",173,176,6,1,77,20/07/2000,Desapropriação,06/01/1999,Poconé
MT0364000,PA WILSON MEDEIROS,PEDRA PRETA,"2.929,00",105,108,3,1,83,29/08/2000,Desapropriação,19/08/2002,Pedra Preta
MT0366000,PA VALE DA ESPERANÇA,NOVA GUARITA,"1.287,17",24,24,3,1,84,01/09/2000,Arrecadação,01/09/2000,Nova Guarita
MT0429000,PE GUARIBA,COLNIZA,"315.200,00",125,124,4,3,88,29/09/2000,Reconhecimento,24/09/2000,Colniza
